topic,subtopic,event_date,event_name,annotation_short,window_days,geography,source_url
Economy,Trade/Tariffs,2018-06-15,Section 301 China tariffs announced,Trump administration announces first major tariff package on Chinese goods; key start of tariff-era economic coverage.,21,US/China,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/june/ustr-issues-tariffs-chinese-products
Economy,COVID relief,2020-03-13,COVID-19 national emergency declared,COVID shock becomes dominant economic story in the US and triggers emergency policy response.,30,United States,https://www.whitehouse.gov/wp-content/uploads/2020/03/M-20-18.pdf
Economy,Stimulus,2021-03-11,American Rescue Plan signed,Relief checks and large federal stimulus package reshape economic and political coverage.,21,United States,https://www.whitehouse.gov/wp-content/uploads/2021/03/M_21_20.pdf
Economy,Trade/Tariffs,2025-04-02,Reciprocal tariffs executive order,"Trump launches broad new reciprocal tariff regime, reviving trade-war coverage.",21,Global / United States,https://www.whitehouse.gov/presidential-actions/2025/07/further-modifying-the-reciprocal-tariff-rates/
Government,Election,2020-11-03,2020 presidential election,Election day ending in Biden victory; baseline anchor for election and government coverage.,14,United States,https://www.fec.gov/resources/cms-content/documents/2020presgeresults.pdf
Government,Institutional crisis,2021-01-06,U.S. Capitol attack,Congressional certification is disrupted by the Capitol attack; major shock to government coverage.,14,"Washington, DC",https://www.archives.gov/press/press-releases/2021/nr21-23
Government,Election,2022-11-08,2022 midterm elections,House and Senate control battle dominates government and election reporting.,14,United States,https://www.fec.gov/updates/tip-2022-election-day-tuesday-november-8/
Government,Election,2024-11-05,2024 presidential election,Trump defeats Harris; major reset point for tone and attention across outlets.,14,United States,https://www.fec.gov/documents/5644/2024presgeresults.pdf
Immigration,Enforcement,2018-06-15,Zero Tolerance / family separation escalation,Family-separation era becomes a defining immigration controversy in US media.,21,US-Mexico border,https://www.dhs.gov/archive/news/2018/06/15/fact-sheet-zero-tolerance-immigration-prosecutions-families
Immigration,Border policy,2023-05-11,Title 42 ends,End of pandemic-era border expulsion policy drives a large immigration coverage spike.,21,US-Mexico border,https://www.dhs.gov/archive/news/2023/05/11/fact-sheet-circumvention-lawful-pathways-final-rule
Immigration,Legislation,2024-02-07,Bipartisan border bill blocked in Senate,High-profile collapse of a bipartisan border deal after intense election-year debate.,14,"Washington, DC",https://www.reuters.com/world/us/bipartisan-border-foreign-aid-bill-blocked-us-senate-2024-02-07/
Immigration,Enforcement,2025-01-22,Southern border national emergency,"Trump declares national emergency at the southern border, intensifying ICE and enforcement coverage.",21,United States,https://www.whitehouse.gov/fact-sheets/2025/01/fact-sheet-president-donald-j-trump-declares-a-national-emergency-at-the-southern-border/
ForeignPolicy,Afghanistan,2021-08-31,U.S. withdrawal from Afghanistan completed,Formal end of the U.S. military mission in Afghanistan after Kabul evacuation crisis.,21,Afghanistan / United States,https://2021-2025.state.gov/u-s-relations-with-afghanistan/
ForeignPolicy,Ukraine,2022-02-24,Russia launches full-scale invasion of Ukraine,Start of the war that dominated US foreign policy coverage for years.,30,Ukraine / Russia,https://www.state.gov/bureau-of-political-military-affairs/releases/2025/01/u-s-security-cooperation-with-ukraine
ForeignPolicy,Israel-Gaza,2023-10-07,Hamas attacks Israel / Gaza war begins,"Attack triggers sustained US coverage of Israel, Gaza, hostages, and regional escalation.",30,Israel / Gaza / United States,https://www.defense.gov/News/Releases/Release/Article/3927710/statement-by-secretary-of-defense-lloyd-j-austin-iii-marking-one-year-since-ham/
ForeignPolicy,Iran,2025-06-22,U.S. strikes Iranian nuclear sites,Major Iran escalation with direct US military action; high relevance for US outlets.,21,Iran / United States,https://www.whitehouse.gov/articles/2025/06/sunday-shows-president-trumps-pursuit-of-peace-through-strength-in-iran/
PoliticalFigures,Trump legal cases,2023-08-01,Trump federal election case indictment,Special Counsel election-interference indictment puts Trump at center of legal-political coverage.,14,"Washington, DC",https://www.justice.gov/archives/sco-smith/speech/special-counsel-jack-smith-delivers-statement-0
PoliticalFigures,Epstein,2024-01-04,Epstein court documents unsealed,Release of names tied to Epstein brings renewed elite-network scandal coverage.,14,New York / United States,https://www.reuters.com/legal/names-jeffrey-epsteins-associates-set-be-released-2024-01-03/
PoliticalFigures,Political violence,2024-07-13,Trump assassination attempt in Butler,Attempt on Trump’s life becomes a major cross-topic political-figure and democracy story.,14,Pennsylvania,https://www.reuters.com/world/us/gunfire-trump-rally-live-2024-07-14/
PoliticalFigures,Political violence,2025-09-10,Charlie Kirk assassination,Killing of conservative activist Charlie Kirk becomes a major political-violence story.,14,Utah,https://www.reuters.com/world/us/conservative-influencer-charlie-kirk-shot-dead-manhunt-suspect-2025-09-11/
OutletMeta,Fox News,2023-04-18,Fox settles Dominion case,Dominion settlement becomes a defining meta-story about Fox and 2020 election misinformation.,14,United States,https://www.reuters.com/legal/dominions-defamation-case-against-fox-poised-trial-after-delay-2023-04-18/
OutletMeta,CNN,2023-06-07,CNN chief Chris Licht exits,Leadership turmoil after strategy and positioning disputes may affect CNN coverage framing.,14,United States,https://www.reuters.com/business/media-telecom/cnn-ceo-chris-licht-leave-report-2023-06-07/
OutletMeta,Washington Post,2024-10-28,Washington Post stops presidential endorsements,Decision prompts subscriber backlash and becomes a major media-politics story.,14,United States,https://www.reuters.com/world/us/over-200000-subscribers-flee-washington-post-after-it-blocks-harris-endorsement-2024-10-28/
OutletMeta,Washington Post,2025-02-26,Washington Post opinion section ideological shift,Bezos-backed opinion realignment toward 'personal liberties and free markets' becomes a notable outlet-level event.,14,United States,https://www.reuters.com/business/media-telecom/washington-post-opinion-head-leaves-paper-section-shifts-focus-2025-02-26/
